profile,controller_case,original_status,calibrated_status,original_rmse,original_mae,original_max_abs_error,settled_rmse,settled_mae,settled_max_abs_error,max_abs_error_step,max_abs_error_value,max_abs_error_is_rate_limited_transition,target_change_step,target_before,target_after,abs_target_delta,rate_limit_fraction,saturation_fraction,non_finite_count,calibration_reasons
hold-y-eq,feedforward,PASS,PASS,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,False,,,,0.0,0.0,0.0,0,original pass and settled metrics pass
hold-y-eq,p,PASS,PASS,0.05843774554081607,0.05842261455296267,0.0700011826243383,0.05843774554081607,0.05842261455296267,0.0700011826243383,0,0.0700011826243383,False,,,,0.0,0.0,0.0,0,original pass and settled metrics pass
hold-y-eq,pi,PASS,PASS,0.020383822353708638,0.013069337490940035,0.0700011826243383,0.020383822353708638,0.013069337490940035,0.0700011826243383,0,0.0700011826243383,False,,,,0.0,0.0,0.0,0,original pass and settled metrics pass
step64-96,feedforward,PASS,PASS,2.009888946463491,0.2500168159255175,17.84749937728904,0.0,0.0,0.0,20,17.84749937728904,True,20,64.0,96.0,32.0,0.025,0.0,0,original pass and settled metrics pass
step64-96,p,PASS,PASS,2.015825112412778,0.3072305110276422,17.885901925081626,0.05327860984097661,0.0526075195109533,0.06106661665472757,20,17.885901925081626,True,20,64.0,96.0,32.0,0.025,0.0,0,original pass and settled metrics pass
step64-96,pi,PASS,PASS,2.2473659532389734,0.8784731877436849,17.860297626389624,0.840018208258013,0.551050908138315,2.4169727751718995,20,17.860297626389624,True,20,64.0,96.0,32.0,0.025,0.0,0,original pass and settled metrics pass
step96-64,feedforward,PASS,PASS,2.009888946463491,0.25001681592551783,17.84749937728904,0.0,0.0,0.0,20,17.84749937728904,True,20,96.0,64.0,32.0,0.025,0.0,0,original pass and settled metrics pass
step96-64,p,PASS,PASS,2.003891204047148,0.29658915758931237,17.789895555600154,0.044499446190927744,0.043612810301507446,0.06916432109701987,20,17.789895555600154,True,20,96.0,64.0,32.0,0.025,0.0,0,original pass and settled metrics pass
step96-64,pi,PASS,PASS,2.247853173543174,0.8863596486398112,17.828302003638157,0.8479360929568139,0.5593120937660931,2.4394258628615546,20,17.828302003638157,True,20,96.0,64.0,32.0,0.025,0.0,0,original pass and settled metrics pass
multistep,feedforward,FAIL,EXPLAINED_TRANSIENT,7.85387322625175,1.831939610828968,51.84749937728904,0.0,0.0,0.0,35,51.84749937728904,True,35,104.0,38.0,66.0,0.0875,0.0,0,v0.14.0 failure is explained by rate-limited target-change transient; settled-window metrics are within calibrated fail thresholds
multistep,p,FAIL,EXPLAINED_TRANSIENT,7.84869785928003,1.9225420589652635,51.785095237126995,0.05035493152134333,0.04666302955452677,0.15332754794125947,35,51.785095237126995,True,35,104.0,38.0,66.0,0.0875,0.0,0,v0.14.0 failure is explained by rate-limited target-change transient; settled-window metrics are within calibrated fail thresholds
multistep,pi,FAIL,EXPLAINED_TRANSIENT,8.708365951744023,3.586379734703938,52.46927621853088,3.108229809158392,1.6799739046989206,8.867557314205271,35,52.46927621853088,True,35,104.0,38.0,66.0,0.1,0.0,0,v0.14.0 failure is explained by rate-limited target-change transient; settled-window metrics are within calibrated fail thresholds
lower-range,feedforward,PASS,PASS,1.392688465491761,0.19618748443222592,11.84749937728904,0.0,0.0,0.0,20,11.84749937728904,True,20,64.0,38.0,26.0,0.025,0.0,0,original pass and settled metrics pass
lower-range,p,PASS,PASS,1.4254852783433007,0.2871786423985557,11.809096829496447,0.02910678028922235,0.028005854876554537,0.046109547398010875,20,11.809096829496447,True,20,64.0,38.0,26.0,0.025,0.0,0,original pass and settled metrics pass
lower-range,pi,PASS,PASS,1.655804764582801,0.8247540775792878,11.834701128188442,0.6559565871158043,0.49612690815529714,1.63192662277838,20,11.834701128188442,True,20,64.0,38.0,26.0,0.0375,0.0,0,original pass and settled metrics pass
sine-approx,feedforward,PASS,PASS,3.7261175413410954e-15,1.0658141036401502e-15,1.4210854715202004e-14,0.0,0.0,0.0,11,1.4210854715202004e-14,False,7,91.41640786499875,93.38415658052082,1.9677487155220774,0.0,0.0,0,original pass and settled metrics pass
sine-approx,p,PASS,PASS,0.44448703303675,0.39662593471072966,0.7093075016300645,0.05187324082275779,0.05187324082275779,0.05187324082275779,1,0.7093075016300645,False,1,72.0,75.75442716096555,3.754427160965548,0.0,0.0,0,original pass and settled metrics pass
sine-approx,pi,PASS,PASS,0.9747807312234248,0.870285519019746,1.5256560022389323,0.05187324082275779,0.05187324082275779,0.05187324082275779,25,1.5256560022389323,False,21,72.0,68.24557283903447,3.754427160965534,0.0,0.0,0,original pass and settled metrics pass
