t_sec,t_rel_sec,u_cmd,u_ach,tracking_error,u_cmd_demeaned,u_ach_demeaned,err_per_sec,inflight
35.051,0.0,80.0,80.0,0.0,0.0,-0.0008925256409639815,0.0,0.0
40.062,5.010999999999996,80.0,80.009038,0.009038000000003876,0.0,0.008145474359039895,0.0,0.0
45.077,10.025999999999996,80.0,79.965649,-0.03435100000000091,0.0,-0.03524352564096489,0.0,0.0
50.085,15.033999999999999,80.0,80.073785,0.07378500000000088,0.0,0.0728924743590369,0.0,0.0
55.097,20.046,80.0,79.802054,-0.19794600000000173,0.0,-0.1988385256409657,0.0,1.0
60.106,25.055,80.0,80.056603,0.05660299999999552,0.0,0.05571047435903154,0.0,0.0
95.136,60.084999999999994,104.0,100.571483,-3.4285169999999994,24.0,20.570590474359037,0.0,0.0
100.148,65.097,104.0,103.961397,-0.038602999999994836,24.0,23.96050447435904,0.0,0.0
105.161,70.11,104.0,104.120627,0.12062699999999893,24.0,24.119734474359035,0.0,1.0
110.175,75.124,104.0,103.918543,-0.08145700000000033,24.0,23.917650474359036,0.0,0.0
115.188,80.137,104.0,103.921395,-0.07860499999999604,24.0,23.92050247435904,0.0,0.0
120.201,85.14999999999999,104.0,104.127293,0.12729299999999455,24.0,24.12640047435903,0.0,0.0
155.224,120.17299999999999,122.0,119.40925,-2.59075,42.0,39.408357474359036,0.0,0.0
160.236,125.18499999999999,122.0,122.09543,0.09542999999999324,42.0,42.09453747435903,0.0,1.0
165.248,130.197,122.0,121.902781,-0.0972189999999955,42.0,41.90188847435904,0.0,0.0
170.26,135.209,122.0,122.118798,0.11879799999999818,42.0,42.117905474359034,0.0,1.0
175.272,140.221,122.0,121.906342,-0.0936580000000049,42.0,41.90544947435903,0.0,0.0
180.286,145.235,122.0,122.058523,0.058522999999993885,42.0,42.05763047435903,0.0,1.0
215.308,180.257,128.0,127.121717,-0.8782829999999962,48.0,47.12082447435904,0.0,0.0
220.319,185.26799999999997,128.0,128.108067,0.10806700000000546,48.0,48.10717447435904,0.0,0.0
225.333,190.28199999999998,128.0,127.836932,-0.16306799999999555,48.0,47.83603947435904,0.0,1.0
230.346,195.29500000000002,128.0,128.078861,0.07886099999998919,48.0,48.077968474359025,0.0,0.0
235.359,200.308,128.0,128.052896,0.05289600000000405,48.0,48.05200347435904,0.0,0.0
240.373,205.322,128.0,128.049882,0.04988199999999665,48.0,48.04898947435903,0.0,1.0
275.395,240.344,122.0,122.836479,0.8364789999999971,42.0,42.83558647435903,0.0,1.0
280.408,245.35700000000003,122.0,122.085331,0.08533099999999649,42.0,42.08443847435903,0.0,0.0
285.421,250.37,122.0,122.078469,0.07846899999999835,42.0,42.077576474359034,0.0,1.0
290.434,255.38300000000004,122.0,121.895556,-0.10444400000000087,42.0,41.894663474359035,0.0,0.0
295.447,260.396,122.0,122.087567,0.08756700000000706,42.0,42.08667447435904,0.0,0.0
300.459,265.408,122.0,121.908,-0.09199999999999875,42.0,41.90710747435904,0.0,0.0
335.478,300.427,104.0,106.596733,2.5967330000000004,24.0,26.595840474359036,0.0,0.0
340.491,305.44,104.0,103.939728,-0.06027199999999766,24.0,23.93883547435904,0.0,0.0
345.504,310.45300000000003,104.0,103.934478,-0.06552200000000141,24.0,23.933585474359035,0.0,0.0
350.517,315.466,104.0,104.125678,0.12567799999999352,24.0,24.12478547435903,0.0,1.0
355.53,320.479,104.0,103.932743,-0.0672569999999979,24.0,23.931850474359038,0.0,0.0
360.542,325.491,104.0,103.954577,-0.04542299999999955,24.0,23.953684474359036,0.0,0.0
395.561,360.51,80.0,83.439574,3.4395739999999932,0.0,3.4386814743590293,0.0,0.0
400.574,365.523,80.0,79.987646,-0.012354000000001975,0.0,-0.013246525640965956,0.0,0.0
405.587,370.536,80.0,79.999729,-0.0002709999999979118,0.0,-0.0011635256409618933,0.0,0.0
410.597,375.546,80.0,80.029264,0.029263999999997736,0.0,0.028371474359033755,0.0,0.0
415.609,380.558,80.0,80.012155,0.012155000000007021,0.0,0.01126247435904304,0.0,0.0
420.615,385.564,80.0,80.09993,0.09993000000000052,0.0,0.09903747435903654,0.0,0.0
455.635,420.584,56.0,59.424052,3.424052000000003,-24.0,-20.57684052564096,0.0,0.0
460.648,425.59700000000004,56.0,56.057709,0.057709000000002675,-24.0,-23.94318352564096,0.0,0.0
465.661,430.61,56.0,55.848995,-0.15100499999999784,-24.0,-24.151897525640962,0.0,1.0
470.667,435.616,56.0,56.136081,0.13608099999999723,-24.0,-23.864811525640967,0.0,0.0
475.681,440.63,56.0,56.038007,0.038007000000000346,-24.0,-23.962885525640964,0.0,1.0
480.694,445.64300000000003,56.0,55.858534,-0.1414660000000012,-24.0,-24.142358525640965,0.0,0.0
515.714,480.66300000000007,38.0,40.605531,2.605530999999999,-42.0,-39.395361525640965,0.0,1.0
520.727,485.676,38.0,37.898251,-0.10174899999999809,-42.0,-42.10264152564096,0.0,0.0
525.739,490.68800000000005,38.0,37.910937,-0.089063000000003,-42.0,-42.08995552564097,0.0,1.0
530.749,495.69800000000004,38.0,38.123763,0.12376299999999674,-42.0,-41.87712952564097,0.0,0.0
535.761,500.71,38.0,37.908224,-0.09177600000000297,-42.0,-42.09266852564097,0.0,0.0
540.773,505.72200000000004,38.0,38.113206,0.11320599999999814,-42.0,-41.887686525640966,0.0,0.0
575.793,540.742,32.0,32.866249,0.8662490000000034,-48.0,-47.13464352564096,0.0,1.0
580.805,545.7539999999999,32.0,31.925745,-0.07425500000000085,-48.0,-48.075147525640965,0.0,0.0
585.82,550.769,32.0,31.904625,-0.09537500000000065,-48.0,-48.09626752564097,0.0,0.0
590.831,555.78,32.0,32.126407,0.12640700000000038,-48.0,-47.874485525640964,0.0,0.0
595.845,560.794,32.0,31.916028,-0.08397199999999927,-48.0,-48.08486452564097,0.0,0.0
600.851,565.8,32.0,32.158251,0.15825099999999992,-48.0,-47.842641525640964,0.0,1.0
635.877,600.8259999999999,38.0,37.115729,-0.8842709999999983,-42.0,-42.88516352564096,0.0,0.0
640.892,605.841,38.0,38.08299,0.08299000000000234,-42.0,-41.91790252564096,0.0,0.0
645.905,610.8539999999999,38.0,37.903138,-0.09686200000000156,-42.0,-42.097754525640966,0.0,0.0
650.917,615.866,38.0,38.106534,0.10653400000000346,-42.0,-41.89435852564096,0.0,0.0
655.933,620.882,38.0,37.880531,-0.11946900000000227,-42.0,-42.120361525640966,0.0,0.0
660.948,625.8969999999999,38.0,38.087882,0.08788200000000046,-42.0,-41.91301052564096,0.0,0.0
695.969,660.918,56.0,53.424863,-2.575136999999998,-24.0,-26.576029525640962,0.0,0.0
700.981,665.93,56.0,55.863093,-0.13690700000000078,-24.0,-24.137799525640965,0.0,0.0
705.995,670.944,56.0,56.042933,0.04293299999999789,-24.0,-23.957959525640966,0.0,0.0
711.008,675.957,56.0,56.053846,0.05384600000000006,-24.0,-23.947046525640964,0.0,0.0
716.021,680.9699999999999,56.0,56.05348,0.053480000000000416,-24.0,-23.947412525640964,0.0,1.0
721.033,685.982,56.0,55.866248,-0.1337520000000012,-24.0,-24.134644525640965,0.0,0.0
756.052,721.001,80.0,76.558024,-3.441975999999997,0.0,-3.442868525640961,0.0,0.0
761.066,726.015,80.0,79.984435,-0.015564999999995166,0.0,-0.016457525640959147,0.0,0.0
766.077,731.026,80.0,80.02316,0.02316000000000429,0.0,0.022267474359040307,0.0,0.0
771.091,736.04,80.0,79.968151,-0.03184899999999402,0.0,-0.032741525640958,0.0,0.0
776.103,741.0519999999999,80.0,80.017614,0.01761399999999469,0.0,0.016721474359030708,0.0,0.0
781.115,746.064,80.0,80.005388,0.005387999999996396,0.0,0.004495474359032414,0.0,0.0
